,CC,CF,CO,CP,CT,GD,HE,HO,LE,NG,SU,SV,ZC,ZS,ZW
CC,1.000000,0.260720,0.195270,0.144570,0.200487,0.181648,0.102528,0.150417,0.016764,-0.020715,0.127966,0.232620,0.180379,0.193087,0.090592
CF,0.260720,1.000000,0.094686,0.268173,0.242130,0.257817,0.059313,0.100365,0.029977,0.075537,0.236845,0.271900,0.260586,0.272707,0.270358
CO,0.195270,0.094686,1.000000,0.413122,0.251951,0.113924,0.178429,0.882515,0.223735,0.234475,0.238689,0.273080,0.194471,0.197392,0.084974
CP,0.144570,0.268173,0.413122,1.000000,0.351800,0.321918,0.132064,0.405889,0.087983,0.097553,0.266277,0.414677,0.250531,0.285454,0.251177
CT,0.200487,0.242130,0.251951,0.351800,1.000000,0.120903,0.008857,0.253599,0.049659,0.140580,0.217464,0.140079,0.383885,0.420549,0.255839
GD,0.181648,0.257817,0.113924,0.321918,0.120903,1.000000,-0.014758,0.128173,-0.094920,0.020124,0.183649,0.756320,0.227207,0.170725,0.213667
HE,0.102528,0.059313,0.178429,0.132064,0.008857,-0.014758,1.000000,0.173202,0.311885,0.107351,0.035365,0.020214,0.014708,0.071719,0.032466
HO,0.150417,0.100365,0.882515,0.405889,0.253599,0.128173,0.173202,1.000000,0.140587,0.323728,0.196414,0.226472,0.215956,0.231596,0.100046
LE,0.016764,0.029977,0.223735,0.087983,0.049659,-0.094920,0.311885,0.140587,1.000000,-0.046874,0.051704,-0.016283,-0.028202,0.026030,0.009032
NG,-0.020715,0.075537,0.234475,0.097553,0.140580,0.020124,0.107351,0.323728,-0.046874,1.000000,0.073372,0.028104,0.127371,0.115348,0.089650
SU,0.127966,0.236845,0.238689,0.266277,0.217464,0.183649,0.035365,0.196414,0.051704,0.073372,1.000000,0.201752,0.146839,0.173953,0.104694
SV,0.232620,0.271900,0.273080,0.414677,0.140079,0.756320,0.020214,0.226472,-0.016283,0.028104,0.201752,1.000000,0.246159,0.227345,0.205658
ZC,0.180379,0.260586,0.194471,0.250531,0.383885,0.227207,0.014708,0.215956,-0.028202,0.127371,0.146839,0.246159,1.000000,0.676411,0.640145
ZS,0.193087,0.272707,0.197392,0.285454,0.420549,0.170725,0.071719,0.231596,0.026030,0.115348,0.173953,0.227345,0.676411,1.000000,0.509085
ZW,0.090592,0.270358,0.084974,0.251177,0.255839,0.213667,0.032466,0.100046,0.009032,0.089650,0.104694,0.205658,0.640145,0.509085,1.000000
