run,date,baseline_ticker,gps_ticker,baseline_value,gps_value
1,2016-01-01,GD,GD,1048.4973166368516,1048.4973166368516
1,2016-02-01,CP,CP,1080.063305766957,1080.063305766957
1,2016-03-01,CO,CO,1157.033699586761,1157.033699586761
1,2016-04-01,CO,CO,1342.0653334087492,1342.0653334087492
1,2016-05-01,NG,NG,1348.137706484208,1348.137706484208
1,2016-06-01,SU,SU,1556.8975212922487,1556.8975212922487
1,2016-07-01,CP,CP,1567.113887777358,1567.113887777358
1,2016-08-01,ZW,ZW,1397.607108836466,1397.607108836466
1,2016-09-01,HE,HE,1066.1934466009718,1066.1934466009718
1,2016-10-01,ZC,ZC,1122.041769126366,1122.041769126366
1,2016-11-01,HE,HE,1134.125592811992,1134.125592811992
1,2016-12-01,CT,CT,1115.5011611910234,1115.5011611910234
1,2017-01-01,GD,GD,1167.6540292793995,1167.6540292793995
1,2017-02-01,LE,LE,1206.6888855635075,1206.6888855635075
1,2017-03-01,CO,CO,1119.3863529772048,1119.3863529772048
1,2017-04-01,NG,NG,1116.247152310784,1116.247152310784
1,2017-05-01,NG,NG,1028.0893016339603,1028.0893016339603
1,2017-06-01,SU,ZS,928.0746050082622,1057.915650572704
1,2017-07-01,SU,CC,1009.7292157843091,1104.602629359411
1,2017-08-01,GD,CT,1043.6966764257172,1134.963561417541
1,2017-09-01,SU,CO,986.5143030751751,1221.9962043116407
1,2017-10-01,ZC,SV,959.0827399225404,1220.623016315404
1,2017-11-01,HE,CC,917.5628616171826,1198.2727757104647
1,2017-12-01,CT,CP,988.4301317049396,1285.0202110722503
1,2018-01-01,GD,CC,1010.9486286114758,1346.572679182611
1,2018-02-01,LE,ZC,1006.5840523206439,1390.5278767998323
1,2018-03-01,CO,LE,1062.1298165305157,1229.1733345169412
1,2018-04-01,ZS,CF,1051.9498151994935,1246.4000766968848
1,2018-05-01,NG,ZW,1106.2830231545474,1276.6404785577197
1,2018-06-01,SU,CO,1039.0535830944732,1410.1886836371311
1,2018-07-01,SU,GD,895.5454761173282,1371.4966316298376
1,2018-08-01,GD,SU,873.9596364536111,1373.2499653918644
1,2018-09-01,SU,CO,852.7403544506326,1443.935581595074
1,2018-10-01,ZC,CT,866.1066262643499,1451.848348582215
1,2018-11-01,HE,CT,901.3009860640378,1459.5011469177018
1,2018-12-01,CT,LE,811.3905795729873,1486.7577519620302
1,2019-01-01,GD,SU,830.5456551494482,1560.2570344645003
1,2019-02-01,LE,HO,853.6142625499144,1685.6508779009275
1,2019-03-01,CT,CC,908.7373543620411,1710.6987021910218
1,2019-04-01,ZS,ZC,862.5309708898275,1683.2053301915232
1,2019-05-01,HE,LE,802.4715466976842,1546.583095942516
1,2019-06-01,SU,HE,812.0476641500372,1355.45045668673
1,2019-07-01,CP,ZS,785.2751908881598,1275.7239204599528
1,2019-08-01,GD,GD,840.6032838453783,1365.6075338453754
1,2019-09-01,SU,SU,859.5662448778302,1396.4139355661375
1,2019-10-01,ZC,CP,864.6225169065233,1427.5565703645736
1,2019-11-01,HE,ZW,802.4329715438687,1499.4078232556276
1,2019-12-01,CT,ZW,845.6162284790602,1539.750595929934
1,2020-01-01,GD,SU,876.0593824476877,1665.8884050497397
1,2020-02-01,LE,CT,785.5147929529392,1500.4315614015018
1,2020-03-01,CT,CC,641.5206234631638,1255.5145114278246
1,2020-04-01,NG,ZW,711.4648521916041,1169.8137619768322
1,2020-05-01,HE,ZS,663.1684553582247,1148.1124845887264
1,2020-06-01,SU,GD,716.6364120714817,1178.4252984231039
1,2020-07-01,SV,CC,931.6836483496337,1292.9194154101333
1,2020-08-01,GD,HE,922.4727596717061,1410.7597849860856
1,2020-09-01,SU,ZW,936.1031977188884,1478.8738324230048
1,2020-10-01,ZC,HE,981.8061516629276,1533.0381724601536
1,2020-11-01,LE,SU,997.692382179879,1558.2003456945815
1,2020-12-01,CT,ZW,1075.0121622463002,1701.7645352373268
1,2021-01-01,GD,SU,1037.4495510038269,1717.0342020015892
1,2021-02-01,ZS,CT,1059.1810755591334,1856.9856925838114
1,2021-03-01,NG,CC,973.6531393800619,1662.577178964573
1,2021-04-01,NG,SV,1067.7580300615734,1751.7174812399276
1,2021-05-01,HE,SU,1150.652442503998,1782.2438857602428
1,2021-06-01,SU,LE,1173.3548151946018,1874.3906029014258
1,2021-07-01,SV,SU,1139.0764276235068,1868.6612644374793
1,2021-08-01,GD,CT,1136.9801277612514,1928.387284563998
1,2021-09-01,HE,ZC,1177.5727374289831,1930.7605802753658
1,2021-10-01,ZC,CF,1243.56370521455,2024.712236063366
1,2021-11-01,CP,SU,1222.3199094445677,1948.417970529132
1,2021-12-01,CT,CO,1295.547218542509,2192.1740293129465
1,2022-01-01,GD,CP,1266.5735833003923,2120.9726249387527
1,2022-02-01,ZS,CT,1383.429771992474,2048.9319791463213
1,2022-03-01,ZW,HO,1485.5548686440534,2407.4019030564923
1,2022-04-01,NG,ZW,1885.2223515606565,2527.6774902831626
1,2022-05-01,HE,GD,1840.8792561398552,2448.8879593068154
1,2022-06-01,CO,SV,1722.5888030337744,2298.9673215464873
1,2022-07-01,SV,SV,1710.4065174832904,2282.7088410937026
1,2022-08-01,GD,SU,1652.8921439410867,2317.1539826079884
1,2022-09-01,SU,CF,1640.4094131748016,2182.787941963695
1,2022-10-01,LE,GD,1691.7858736100584,2138.489629415675
1,2022-11-01,CF,CF,1635.1059816169552,2066.8438241666895
1,2022-12-01,CT,CT,1604.2707494477002,2027.8667732034567
1,2023-01-01,GD,SU,1685.2457336392158,2200.803251622248
1,2023-02-01,ZS,GD,1624.998198661614,2074.1305524300137
1,2023-03-01,NG,NG,1245.4901242071955,1589.7304510833735
1,2023-04-01,NG,GD,1276.8132713607647,1593.0075725622464
1,2023-05-01,CO,CC,1134.0508710322622,1626.8976289642287
1,2023-06-01,CO,CP,1178.4261929788336,1656.9882759372053
1,2023-07-01,SV,ZW,1276.5422806627428,1695.5039982179223
1,2023-08-01,NG,ZC,1283.0853149953716,1575.932976482907
1,2023-09-01,ZW,ZS,1151.2520287787688,1464.0549734500858
1,2023-10-01,LE,CO,1118.217661048473,1331.9958303957405
1,2023-11-01,ZS,HO,1142.4355815880285,1272.263483915363
1,2023-12-01,SV,HO,1068.2199517253912,1187.1656272332539
1,2024-01-01,GD,HO,1052.6672878943862,1300.4090488931251
1,2024-02-01,CP,GD,1030.875852721291,1295.1409672864584
1,2024-03-01,ZW,CF,1001.9205669493663,1319.8588219792673
1,2024-04-01,NG,CF,995.416102638418,1521.2402413192199
1,2024-05-01,CO,NG,945.4055531508345,1717.9911960753134
1,2024-06-01,CO,CP,1002.1588411561223,1624.3679995080568
1,2024-07-01,SV,HE,982.4408681953618,1624.0503631913211
1,2024-08-01,NG,ZC,965.9071350022733,1625.0558727970492
1,2024-09-01,SU,CP,1115.38760897436,1749.9424280670664
1,2024-10-01,ZC,GD,1079.1029438848948,1806.817862915958
1,2024-11-01,CP,SV,1010.8466535588649,1687.7174549786469
1,2024-12-01,GD,HO,995.9502943446928,1771.76517079998
