run,direction,strategy,cum_ret,sharpe,treynor,mdd_mag
1,long,baseline,-0.8164233086153515,-0.2740183223522324,-0.008590756008566994,0.8958384146524224
1,long,gps,-0.5780739058390523,0.04834062845578995,0.0012681122539302053,0.7732030173733513
1,short,baseline,0.26497934583562643,0.27720098387357706,-0.008916767654052,0.5841501613095832
1,short,gps,-0.4517083340342428,0.006674513092942696,-0.0004402901293140371,0.7954504167717086
2,long,baseline,-0.3087827506388474,0.15398476135340958,0.008643424505248137,0.8134153352383451
2,long,gps,-0.1609954937195205,0.16628044102179015,0.005621151337364599,0.8092621498685368
2,short,baseline,-0.6903845666170108,-0.06252635430960604,0.0016773165200931175,0.8596561333634185
2,short,gps,-0.39566705860798623,0.0761742384899679,-0.001995668791578731,0.8318289841687038
3,long,baseline,-0.2848453703675925,0.17813989907261688,0.006253572045239889,0.8246233631815381
3,long,gps,-0.8020851119992526,-0.3367051487110824,-0.01913644414964426,0.9118019626283169
3,short,baseline,1.177579628685148,0.4088992863154749,-0.0109042479482423,0.5293640704458489
3,short,gps,-0.40687521241864677,0.06996693892817274,-0.0020666875356744837,0.7884156031708722
4,long,baseline,-0.34214686234982217,0.1531247340788375,0.004608725137951846,0.8295208493284005
4,long,gps,-0.4707760249983469,-0.009130567049440149,-0.00029414752003749324,0.6890287010222271
4,short,baseline,-0.42236964011960865,0.08690734392464802,-0.0036375401941067405,0.8266670535129135
4,short,gps,0.31913373397293565,0.29001693172909865,-0.008127578967556252,0.6557306753710785
5,long,baseline,-0.8545211625000542,-0.17377313730190164,-0.0048979791191201575,0.9243608584977913
5,long,gps,-0.4397338365156901,0.010860320009383468,0.0003923264767620489,0.7239653366402217
5,short,baseline,2.32529014732732,0.45786842466742894,-0.018580284435545893,0.6562907149963295
5,short,gps,-0.21885544970591564,0.14744756569745812,-0.009902119414787598,0.7426154440028343
6,long,baseline,2.986919285227695,0.5577925903624105,0.02496964459147779,0.6771437673403484
6,long,gps,0.34901974694627724,0.27627714119870445,0.010599446593222577,0.5987944019933829
6,short,baseline,-0.7457350592509058,-0.10062006336647039,0.0026151396425400336,0.8761829962862637
6,short,gps,-0.4970989687095285,0.03353820514442372,-0.0010655141874601573,0.6592276315467214
7,long,baseline,0.3835105511880015,0.3052859883049428,0.012668954120429461,0.7932355664995847
7,long,gps,1.608674951064903,0.46468120753994996,0.012195913284660395,0.545343701529641
7,short,baseline,-0.09657604626886351,0.19929215465169633,-0.0050202157558018245,0.7269286186344672
7,short,gps,-0.7672478157234697,-0.270602978285624,0.011219296227810803,0.8227059206533027
8,long,baseline,-0.6939643570746032,-0.11701409248549491,-0.006035649745700909,0.9223905158583725
8,long,gps,-0.08962471145813922,0.20920078024025482,0.008745898637797187,0.8472771342644498
8,short,baseline,-0.6371609188066311,-0.12308720886733554,0.006530904814019737,0.6990120346128463
8,short,gps,0.18738805133857106,0.26461730521378046,-0.011213498143689096,0.6510144134303419
9,long,baseline,0.6660066438504129,0.3427078143307797,0.01101675721764594,0.7722945808352834
9,long,gps,-0.561871568155787,-0.010746990585905515,-0.0003152436523315105,0.8469172285242007
9,short,baseline,-0.399589189703734,0.13579092738870796,-0.00431679784397826,0.6765489848756476
9,short,gps,-0.5975502918213842,-0.05935362375037671,0.005218904008243768,0.7369000967339864
10,long,baseline,-0.906501950702379,-0.3656555281004243,-0.011818746136336293,0.9282843519933707
10,long,gps,-0.7375809366111543,-0.21216683124509075,-0.0054890753305832755,0.8693766182294916
10,short,baseline,-0.057775742317707324,0.18461177107464438,-0.0068191605267501915,0.48439017101286896
10,short,gps,-0.41659296307595084,0.08217871144855095,-0.0063705807251123415,0.7297258977812597
